pc_timestamp,pc_time_s,T_degC,TempIn_degC,RTD_Ohm,u_V,Pd_W,P_act_W,error_K,alpha_hat,T_ref_degC,T_amb_degC,EN,raw_line
2026-04-23 04:29:07.484794,88.4290702342987,44.44,22.0,117.26,0.9212,19.7537,24.2,-25.558,0.048162,70.0,25.0,1,"A1=0.0577V,P1=+37.27deg|A2=0.0782V,P2=+32.33deg|A3=0.0633V,P3=+53.95deg|A4=0.0502V,P4=+67.98deg|RTD=117.26Ohm,T=44.44C,TempIn=22.00C|MX=1.9128V,MY=3.2992V,MZ=0.3431V,MVREF=1.7517V|MRAC_U=0.9212V,MRAC_PD=19.7537W,MRAC_PACT=24.2000W,MRAC_E=-25.5580K,MRAC_A=0.048162,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:29:07.780320,88.72459626197815,44.72,21.88,117.36,0.9212,19.5572,24.2,-25.2808,0.048411,70.0,25.0,1,"A1=0.0580V,P1=+35.19deg|A2=0.0823V,P2=+30.30deg|A3=0.0628V,P3=+55.52deg|A4=0.0514V,P4=+68.55deg|RTD=117.36Ohm,T=44.72C,TempIn=21.88C|MX=1.9129V,MY=3.2992V,MZ=0.3434V,MVREF=1.7521V|MRAC_U=0.9212V,MRAC_PD=19.5572W,MRAC_PACT=24.2000W,MRAC_E=-25.2808K,MRAC_A=0.048411,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:29:08.071409,89.01568460464478,44.81,22.06,117.4,0.9212,19.4956,24.2,-25.1909,0.04866,70.0,25.0,1,"A1=0.0575V,P1=+36.72deg|A2=0.0784V,P2=+31.45deg|A3=0.0627V,P3=+55.47deg|A4=0.0515V,P4=+68.71deg|RTD=117.40Ohm,T=44.81C,TempIn=22.06C|MX=1.9132V,MY=3.2992V,MZ=0.3435V,MVREF=1.7521V|MRAC_U=0.9212V,MRAC_PD=19.4956W,MRAC_PACT=24.2000W,MRAC_E=-25.1909K,MRAC_A=0.048660,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:29:08.368747,89.31302237510681,44.6,22.09,117.31,0.9212,19.6527,24.2,-25.405,0.048909,70.0,25.0,1,"A1=0.0566V,P1=+35.40deg|A2=0.0720V,P2=+34.72deg|A3=0.0615V,P3=+55.59deg|A4=0.0510V,P4=+68.71deg|RTD=117.31Ohm,T=44.60C,TempIn=22.09C|MX=1.9126V,MY=3.2992V,MZ=0.3429V,MVREF=1.7520V|MRAC_U=0.9212V,MRAC_PD=19.6527W,MRAC_PACT=24.2000W,MRAC_E=-25.4050K,MRAC_A=0.048909,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:29:08.656879,89.60115456581116,44.9,22.04,117.43,0.9212,19.4387,24.2,-25.1032,0.049158,70.0,25.0,1,"A1=0.0571V,P1=+36.95deg|A2=0.0780V,P2=+32.79deg|A3=0.0637V,P3=+55.85deg|A4=0.0506V,P4=+68.71deg|RTD=117.43Ohm,T=44.90C,TempIn=22.04C|MX=1.9135V,MY=3.2992V,MZ=0.3428V,MVREF=1.7517V|MRAC_U=0.9212V,MRAC_PD=19.4387W,MRAC_PACT=24.2000W,MRAC_E=-25.1032K,MRAC_A=0.049158,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:29:08.949721,89.89399647712708,45.07,21.89,117.5,0.9212,19.315,24.2,-24.9268,0.049408,70.0,25.0,1,"A1=0.0561V,P1=+33.99deg|A2=0.0784V,P2=+33.20deg|A3=0.0635V,P3=+54.99deg|A4=0.0523V,P4=+69.18deg|RTD=117.50Ohm,T=45.07C,TempIn=21.89C|MX=1.9132V,MY=3.2992V,MZ=0.3444V,MVREF=1.7517V|MRAC_U=0.9212V,MRAC_PD=19.3150W,MRAC_PACT=24.2000W,MRAC_E=-24.9268K,MRAC_A=0.049408,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:29:09.241562,90.1858377456665,45.03,21.98,117.48,0.9212,19.3511,24.2,-24.9728,0.049658,70.0,25.0,1,"A1=0.0565V,P1=+35.99deg|A2=0.0751V,P2=+34.05deg|A3=0.0631V,P3=+55.15deg|A4=0.0485V,P4=+67.66deg|RTD=117.48Ohm,T=45.03C,TempIn=21.98C|MX=1.9125V,MY=3.2992V,MZ=0.3429V,MVREF=1.7516V|MRAC_U=0.9212V,MRAC_PD=19.3511W,MRAC_PACT=24.2000W,MRAC_E=-24.9728K,MRAC_A=0.049658,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:29:09.534205,90.47848081588745,45.07,21.89,117.5,0.9212,19.3266,24.2,-24.9343,0.049908,70.0,25.0,1,"A1=0.0561V,P1=+35.42deg|A2=0.0770V,P2=+32.70deg|A3=0.0637V,P3=+54.50deg|A4=0.0525V,P4=+69.63deg|RTD=117.50Ohm,T=45.07C,TempIn=21.89C|MX=1.9144V,MY=3.2992V,MZ=0.3443V,MVREF=1.7542V|MRAC_U=0.9212V,MRAC_PD=19.3266W,MRAC_PACT=24.2000W,MRAC_E=-24.9343K,MRAC_A=0.049908,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:29:09.828341,90.77261638641357,45.03,21.82,117.48,0.9212,19.3589,24.2,-24.9748,0.050158,70.0,25.0,1,"A1=0.0567V,P1=+35.45deg|A2=0.0803V,P2=+30.80deg|A3=0.0641V,P3=+55.42deg|A4=0.0507V,P4=+68.43deg|RTD=117.48Ohm,T=45.03C,TempIn=21.82C|MX=1.9132V,MY=3.2992V,MZ=0.3437V,MVREF=1.7517V|MRAC_U=0.9212V,MRAC_PD=19.3589W,MRAC_PACT=24.2000W,MRAC_E=-24.9748K,MRAC_A=0.050158,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:29:10.120731,91.0650064945221,45.21,21.88,117.55,0.9212,19.2266,24.2,-24.7863,0.050408,70.0,25.0,1,"A1=0.0566V,P1=+35.26deg|A2=0.0740V,P2=+33.33deg|A3=0.0596V,P3=+56.65deg|A4=0.0495V,P4=+68.25deg|RTD=117.55Ohm,T=45.21C,TempIn=21.88C|MX=1.9126V,MY=3.2992V,MZ=0.3438V,MVREF=1.7513V|MRAC_U=0.9212V,MRAC_PD=19.2266W,MRAC_PACT=24.2000W,MRAC_E=-24.7863K,MRAC_A=0.050408,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=1|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
